id,first_name,last_name,Gender,Country,Institute,Department,Qualification,Year,Quarter,Status,Reason,Cohort,CohortKey,Fees,Other Charges,Expenditures
227,Alexander,Duke,Male,India,ntu,arts,Degree,2001,Q4,Active,NA,Sept intake,1,3803,1218,433
228,Marline,Hounihan,Female,India,ntu,science,Phd.,1994,Q4,Withdrawn,Expensive,Sept intake,1,3212,1519,225
229,Callean,Brasseur,Female,India,nus,arts,Phd.,2016,Q1,Withdrawn,homesick,March Intake,2,3148,1841,253
230,Rita,Loines,Female,India,smu,arts,Bachelor,2000,Q1,Active,NA,June Intake,3,1762,962,255
231,Yancy,Foulgham,Male,India,ntu,engineering,Bachelor,2001,Q4,Withdrawn,homesick,March Intake,2,2215,1612,250
232,Mycah,Gentle,Male,India,ntu,engineering,Degree,2004,Q1,Withdrawn,homesick,June Intake,3,4428,1034,418
233,Iormina,Lamartine,Female,India,nus,arts,Phd.,2004,Q4,Withdrawn,Expensive,June Intake,3,4644,1091,312
234,Harman,Castard,Male,India,smu,engineering,Bachelor,2004,Q4,Active,NA,Sept intake,1,3393,1173,303
235,Sylvester,McGebenay,Male,India,smu,science,Phd.,1994,Q4,Active,NA,March Intake,2,4770,1712,295
236,Meyer,Bridgland,Male,India,nus,engineering,Phd.,1998,Q1,Active,NA,Sept intake,1,4408,585,213
237,Karlotta,McCrackem,Female,India,smu,science,Phd.,1997,Q4,Withdrawn,homesick,June Intake,3,2018,1219,292
238,Rosemarie,Sincock,Male,India,ntu,science,Degree,1998,Q4,Active,NA,March Intake,2,3122,872,249
239,Darb,Ruckledge,Female,India,ntu,science,Bachelor,1998,Q4,Active,NA,March Intake,2,3484,1549,437
240,Maura,Lante,Female,India,nus,engineering,Bachelor,2011,Q2,Withdrawn,homesick,June Intake,3,3855,588,241
241,Jenine,Flaunier,Female,India,smu,arts,Bachelor,1995,Q4,Withdrawn,homesick,Sept intake,1,4460,1379,420
242,Bria,Parnaby,Female,India,smu,engineering,Degree,2015,Q4,Withdrawn,Expensive,Sept intake,1,2035,1253,297
243,Cordy,Bettanay,Female,India,smu,science,Phd.,2001,Q3,Active,NA,Sept intake,1,3251,1688,379
244,Lark,Mengue,Female,India,smu,engineering,Bachelor,2005,Q4,Withdrawn,homesick,Sept intake,1,4003,1532,248
245,Gabrielle,Petre,Female,India,smu,engineering,Phd.,2015,Q4,Withdrawn,Academically unprepared,Sept intake,1,4815,1284,338
246,Berty,Clayhill,Male,India,smu,science,Degree,2018,Q4,Active,NA,Sept intake,1,2787,1397,245
247,Gabe,Antoni,Male,India,ntu,science,Degree,1992,Q2,Active,NA,March Intake,2,4160,726,403
248,Anthony,Shields,Male,India,ntu,engineering,Phd.,2007,Q4,Withdrawn,homesick,March Intake,2,4221,877,450
249,Roanne,Prinett,Female,India,smu,science,Phd.,2008,Q1,Withdrawn,homesick,Sept intake,1,3933,1429,225
250,Cyrus,Kermott,Female,India,nus,engineering,Bachelor,2016,Q2,Withdrawn,Expensive,March Intake,2,3536,1328,311
251,Adella,Couchman,Female,Singapore,nus,arts,Degree,2000,Q3,Withdrawn,homesick,March Intake,2,2944,668,223
252,Gavan,Burel,Female,Singapore,smu,engineering,Phd.,2004,Q2,Active,NA,Sept intake,1,3221,1760,466
253,Charil,Johansson,Female,Singapore,nus,engineering,Degree,2001,Q4,Active,NA,Sept intake,1,1424,865,243
254,Netty,Caurah,Male,Singapore,nus,engineering,Phd.,2009,Q4,Active,NA,Sept intake,1,1810,1003,463
255,Jo ann,Monelle,Female,Singapore,ntu,engineering,Degree,2003,Q4,Active,NA,Sept intake,1,3926,1928,406
256,Junie,Surguine,Male,Singapore,ntu,arts,Bachelor,2002,Q4,Active,NA,Sept intake,1,2185,1237,331
257,Jermayne,Udale,Female,Singapore,ntu,science,Degree,2017,Q3,Withdrawn,homesick,Sept intake,1,3734,571,367
258,Alley,Lambricht,Female,Singapore,ntu,engineering,Phd.,1991,Q3,Withdrawn,Academically unprepared,June Intake,3,4137,1825,344
259,Lionello,Dench,Male,Singapore,smu,science,Phd.,1991,Q4,Active,NA,Sept intake,1,1058,1241,227
260,Mei,MacIlraith,Female,Singapore,ntu,engineering,Bachelor,1998,Q4,Active,NA,June Intake,3,4759,957,231
261,Leila,Oliveras,Male,Singapore,nus,engineering,Degree,2006,Q4,Active,NA,March Intake,2,4928,627,387
262,Josy,Francklyn,Male,Singapore,nus,engineering,Phd.,1998,Q2,Withdrawn,homesick,Sept intake,1,2188,951,229
263,Travis,Pates,Female,Singapore,nus,science,Bachelor,2019,Q4,Withdrawn,homesick,Sept intake,1,1299,1752,443
264,Cordey,Hamson,Female,Singapore,smu,arts,Phd.,1998,Q4,Withdrawn,Academically unprepared,Sept intake,1,1393,565,481
265,Rodie,Bertram,Male,Singapore,ntu,science,Phd.,1996,Q4,Withdrawn,Expensive,Sept intake,1,1797,1891,398
266,Kayne,Dansey,Male,Singapore,smu,engineering,Phd.,2003,Q3,Active,NA,Sept intake,1,1209,1131,271
267,Hart,Hail,Female,Singapore,ntu,engineering,Bachelor,2004,Q3,Active,NA,Sept intake,1,3855,1734,422
268,Kimbra,Breache,Female,Singapore,nus,engineering,Phd.,2000,Q4,Withdrawn,homesick,Sept intake,1,4927,1135,363
269,Fairlie,Challenger,Female,Singapore,ntu,engineering,Bachelor,1990,Q4,Active,NA,Sept intake,1,4669,917,269
270,Cynthy,Vezey,Male,Singapore,smu,science,Degree,2004,Q4,Withdrawn,Academically unprepared,Sept intake,1,3738,1219,299
271,Philip,Bess,Male,Singapore,ntu,arts,Phd.,1995,Q3,Withdrawn,homesick,Sept intake,1,1808,1670,429
272,Aeriel,Enrigo,Male,Singapore,ntu,engineering,Degree,2001,Q2,Withdrawn,homesick,Sept intake,1,3089,1356,410
273,Marketa,Phant,Female,Singapore,smu,arts,Phd.,2008,Q3,Withdrawn,homesick,Sept intake,1,3199,1898,325
274,Meghan,Sackur,Female,Singapore,smu,science,Phd.,2013,Q4,Active,NA,Sept intake,1,1753,1911,238
275,Karissa,Le Galle,Female,Singapore,smu,arts,Phd.,2005,Q2,Active,NA,June Intake,3,4941,1539,500
276,Amy,Crutchfield,Female,Singapore,smu,engineering,Phd.,2008,Q4,Active,NA,Sept intake,1,4593,1577,408
277,Dulcia,Northbridge,Female,Singapore,smu,engineering,Phd.,2009,Q4,Active,NA,Sept intake,1,1141,714,426
278,Jerry,Yesichev,Male,Singapore,smu,science,Phd.,2007,Q3,Active,NA,Sept intake,1,1393,513,365
279,Leland,Whild,Male,Singapore,smu,engineering,Bachelor,2010,Q4,Withdrawn,Expensive,Sept intake,1,3080,1983,316
280,Cybill,Thunder,Female,Singapore,smu,arts,Phd.,1996,Q2,Active,NA,Sept intake,1,4555,1658,235
281,Mersey,Ettery,Male,Singapore,smu,engineering,Degree,1995,Q1,Withdrawn,homesick,June Intake,3,3172,1517,249
282,Rorke,Packington,Male,Singapore,smu,arts,Phd.,1997,Q3,Active,NA,Sept intake,1,1567,1270,368
283,Jillayne,Nanelli,Female,Singapore,nus,engineering,Phd.,2010,Q3,Withdrawn,Expensive,March Intake,2,3744,1823,243
284,Leila,Muddicliffe,Female,Singapore,smu,engineering,Degree,1990,Q3,Active,NA,June Intake,3,3553,1356,288
285,Doralyn,Risso,Male,Singapore,nus,engineering,Degree,2015,Q3,Active,NA,March Intake,2,1003,760,297
286,Raoul,Greville,Female,Singapore,smu,arts,Phd.,2008,Q4,Active,NA,Sept intake,1,1393,752,244
287,Reginald,Carty,Male,Singapore,nus,engineering,Phd.,1993,Q4,Withdrawn,Expensive,March Intake,2,3766,629,490
288,Tobe,Lampert,Female,Singapore,ntu,engineering,Phd.,2003,Q4,Active,NA,March Intake,2,4454,1911,398
289,Christian,Dutnall,Female,Singapore,smu,science,Phd.,2004,Q4,Active,NA,Sept intake,1,3126,849,396
290,Sasha,Alves,Female,Singapore,smu,engineering,Degree,1997,Q4,Active,NA,Sept intake,1,1204,747,388
291,Danica,Kirsopp,Female,Singapore,smu,engineering,Phd.,1990,Q2,Withdrawn,homesick,Sept intake,1,1036,567,340
292,Alix,Fawdrie,Male,Singapore,smu,engineering,Degree,2015,Q4,Active,NA,Sept intake,1,3577,1730,264
293,Miran,Bauer,Male,Singapore,nus,arts,Bachelor,2004,Q4,Active,NA,Sept intake,1,4845,1870,370
294,Bert,Fulger,Female,Singapore,smu,science,Degree,2020,Q3,Withdrawn,homesick,Sept intake,1,1497,1459,471
295,Garland,Janowski,Male,Singapore,nus,engineering,Degree,2016,Q3,Withdrawn,Expensive,Sept intake,1,2501,1389,337
296,Vinny,Henriksson,Female,Singapore,ntu,engineering,Phd.,2008,Q1,Withdrawn,homesick,Sept intake,1,3837,1034,419
297,Rodrick,Garrettson,Female,Singapore,ntu,science,Bachelor,2011,Q4,Withdrawn,Expensive,March Intake,2,4640,853,269
298,Cara,Jopp,Female,Singapore,nus,engineering,Phd.,1996,Q3,Active,NA,Sept intake,1,1971,1193,283
299,Bernie,Goodbur,Male,Singapore,smu,science,Phd.,2002,Q3,Active,NA,March Intake,2,2130,1915,478
300,Raphael,Beyn,Female,Singapore,ntu,arts,Phd.,1991,Q4,Withdrawn,homesick,June Intake,3,1986,846,435
301,Vale,Vaskin,Male,Singapore,smu,arts,Phd.,2016,Q3,Withdrawn,homesick,Sept intake,1,1440,1139,402
302,Luce,Bellworthy,Female,Singapore,nus,engineering,Degree,2007,Q2,Active,NA,Sept intake,1,3072,1024,497
303,Zonda,MacGaughey,Male,Singapore,nus,engineering,Phd.,2002,Q4,Active,NA,March Intake,2,3473,1000,245
304,Corey,Foulds,Male,Singapore,smu,engineering,Phd.,2009,Q1,Withdrawn,homesick,March Intake,2,3546,994,205
305,Cassaundra,Pimme,Male,Singapore,nus,arts,Phd.,2011,Q4,Active,NA,March Intake,2,4257,873,241
306,Brant,Carletto,Female,Singapore,smu,engineering,Phd.,2017,Q2,Withdrawn,homesick,June Intake,3,2731,731,235
307,Hermia,Illes,Female,Singapore,smu,engineering,Phd.,1995,Q4,Withdrawn,Academically unprepared,Sept intake,1,1588,971,220
308,Jesse,Hayen,Male,Singapore,smu,arts,Degree,2009,Q1,Withdrawn,homesick,June Intake,3,1826,1096,363
309,Shepard,Enga,Female,Singapore,nus,arts,Phd.,2009,Q3,Withdrawn,homesick,June Intake,3,4955,1614,217
310,Ardyce,Battram,Male,Singapore,smu,engineering,Degree,1998,Q1,Withdrawn,homesick,March Intake,2,4056,1882,495
311,Isahella,Arkle,Male,Singapore,nus,engineering,Phd.,2000,Q3,Withdrawn,homesick,June Intake,3,1872,655,350
312,Averil,Minear,Male,Singapore,nus,engineering,Phd.,1998,Q4,Withdrawn,homesick,Sept intake,1,2651,1501,425
313,Guy,Stubley,Female,Singapore,smu,arts,Phd.,2018,Q2,Withdrawn,homesick,Sept intake,1,3511,542,251
314,Lari,Mulholland,Male,Singapore,ntu,engineering,Degree,2012,Q1,Active,NA,Sept intake,1,2666,1951,478
315,Abey,Skipton,Male,Singapore,smu,engineering,Bachelor,2000,Q4,Withdrawn,Expensive,Sept intake,1,2023,1440,276
316,Claudetta,Anwyl,Female,Singapore,ntu,engineering,Degree,2016,Q4,Active,NA,Sept intake,1,1552,1161,454
317,Gayelord,Moorman,Male,Singapore,smu,engineering,Phd.,2006,Q1,Withdrawn,homesick,Sept intake,1,2840,1333,490
318,Marilin,Petrolli,Male,Singapore,smu,engineering,Degree,2019,Q4,Active,NA,Sept intake,1,2684,1763,218
319,Worthy,Mongin,Female,Singapore,ntu,engineering,Phd.,2003,Q3,Active,NA,March Intake,2,3574,1375,378
320,Suzette,Yarnley,Male,Singapore,ntu,science,Phd.,1990,Q4,Active,NA,March Intake,2,4261,1893,364
321,Hunfredo,Davidsson,Female,Singapore,smu,engineering,Bachelor,2014,Q4,Withdrawn,homesick,March Intake,2,3797,1709,389
322,Arlin,Giddens,Female,Singapore,smu,arts,Phd.,2014,Q4,Withdrawn,homesick,Sept intake,1,3026,1007,230
323,Natassia,Perceval,Male,Singapore,smu,arts,Degree,1995,Q4,Withdrawn,Expensive,Sept intake,1,4525,1132,236
324,Annabal,Kane,Male,Singapore,smu,engineering,Degree,1994,Q3,Active,NA,Sept intake,1,3927,1484,368
325,Maxy,Concklin,Male,Singapore,nus,arts,Phd.,1998,Q3,Withdrawn,homesick,Sept intake,1,1754,1359,405
326,Adrea,Gypps,Female,Singapore,nus,science,Degree,2019,Q3,Withdrawn,Academically unprepared,June Intake,3,2451,1635,255
327,Melisa,Croal,Female,Singapore,smu,arts,Bachelor,2010,Q4,Active,NA,Sept intake,1,2741,1510,312
328,Kore,Phettiplace,Male,Singapore,ntu,science,Phd.,2016,Q4,Active,NA,Sept intake,1,1628,842,318
329,Udell,Ferrige,Female,Singapore,smu,engineering,Bachelor,2019,Q2,Withdrawn,homesick,Sept intake,1,2070,1702,488
330,Winni,Braime,Male,Singapore,ntu,engineering,Phd.,2006,Q4,Active,NA,March Intake,2,4715,1509,205
331,Kristy,Seagood,Male,Singapore,smu,arts,Bachelor,2008,Q3,Active,NA,Sept intake,1,1584,868,294
332,Sam,Hruska,Male,Singapore,nus,engineering,Phd.,2016,Q4,Active,NA,Sept intake,1,1546,1312,239
333,Craggie,Posvner,Female,Singapore,ntu,engineering,Phd.,2012,Q4,Active,NA,Sept intake,1,2468,1797,243
334,Mikol,Aldam,Female,Singapore,smu,engineering,Bachelor,2009,Q4,Withdrawn,Expensive,Sept intake,1,2960,716,364
335,Durant,Pendrill,Female,Singapore,smu,science,Phd.,2012,Q4,Withdrawn,homesick,Sept intake,1,3912,1054,267
336,Rhetta,Bewshea,Male,Singapore,smu,engineering,Degree,2018,Q4,Active,NA,June Intake,3,1546,1174,395
337,Enrichetta,Toopin,Female,Singapore,nus,engineering,Degree,2001,Q4,Active,NA,Sept intake,1,2503,1643,212
338,Tova,Dodgshun,Female,Singapore,ntu,engineering,Phd.,2011,Q4,Active,NA,June Intake,3,1830,892,314
339,Stefanie,Antunes,Male,Singapore,smu,science,Phd.,2002,Q3,Withdrawn,homesick,March Intake,2,2026,1507,457
340,Martelle,Sears,Male,Singapore,ntu,arts,Phd.,2017,Q2,Withdrawn,Academically unprepared,Sept intake,1,2886,1133,278
341,Kipper,Wreight,Female,Singapore,nus,engineering,Phd.,2016,Q4,Withdrawn,homesick,June Intake,3,1104,1453,431
342,Sargent,Kingzet,Male,Singapore,smu,science,Phd.,2000,Q3,Withdrawn,Expensive,Sept intake,1,2362,899,281
343,Waylen,Tomkin,Male,Singapore,ntu,engineering,Degree,2001,Q4,Withdrawn,Expensive,March Intake,2,2638,1265,281
344,Jana,Wasiela,Male,Singapore,smu,science,Bachelor,2012,Q4,Withdrawn,homesick,Sept intake,1,2220,1181,364
345,Sammy,Klesel,Female,Singapore,smu,arts,Bachelor,2013,Q3,Withdrawn,homesick,Sept intake,1,1854,785,312
346,Rolland,Boshere,Male,Singapore,smu,science,Phd.,2020,Q3,Active,NA,Sept intake,1,1679,1640,256
347,Marijo,Kirstein,Male,Singapore,nus,arts,Phd.,2007,Q4,Active,NA,Sept intake,1,1156,662,392
348,Lurlene,Vannoni,Male,Singapore,smu,engineering,Bachelor,2018,Q4,Active,NA,Sept intake,1,2352,1706,407
349,Drusie,Cheetam,Female,Singapore,smu,engineering,Phd.,1999,Q1,Withdrawn,Expensive,June Intake,3,1257,1344,492
350,Levey,Lawland,Male,Australia,nus,engineering,Bachelor,2015,Q4,Withdrawn,Academically unprepared,Sept intake,1,2419,1068,331
351,Tedra,de la Valette Parisot,Female,Australia,ntu,science,Bachelor,2014,Q2,Active,NA,Sept intake,1,3023,1707,242
352,Berkeley,Asmus,Female,Australia,nus,engineering,Phd.,2010,Q3,Withdrawn,Expensive,Sept intake,1,4869,901,413
353,Clark,Enden,Female,Australia,smu,engineering,Bachelor,2009,Q3,Withdrawn,Academically unprepared,June Intake,3,2630,1084,231
354,Oriana,Chatell,Female,Australia,nus,engineering,Phd.,1992,Q4,Active,NA,June Intake,3,4430,624,250
355,Rollin,Thominga,Female,Australia,smu,engineering,Phd.,2008,Q1,Active,NA,March Intake,2,3870,1933,387
356,Jori,Kares,Female,Australia,smu,engineering,Bachelor,2014,Q4,Active,NA,Sept intake,1,1766,1905,388
357,Evey,Ladyman,Male,Australia,smu,science,Degree,2003,Q4,Withdrawn,homesick,June Intake,3,3537,1437,426
358,Joli,Enterle,Female,Australia,smu,science,Phd.,2013,Q3,Active,NA,Sept intake,1,2484,1059,404
359,Aviva,Zukerman,Female,Australia,smu,science,Degree,1997,Q3,Active,NA,Sept intake,1,2386,1560,352
360,Stephan,Metham,Female,Australia,ntu,engineering,Degree,2008,Q1,Withdrawn,homesick,Sept intake,1,4088,1246,385
361,Corie,Mioni,Female,Australia,ntu,science,Phd.,2000,Q3,Withdrawn,Expensive,Sept intake,1,4398,1365,277
362,Maribelle,Diloway,Male,Australia,ntu,arts,Phd.,2013,Q3,Active,NA,June Intake,3,1660,630,435
363,Chariot,Fould,Female,Australia,ntu,engineering,Bachelor,2008,Q1,Active,NA,March Intake,2,3353,1466,233
364,Katrina,Keson,Male,Australia,nus,engineering,Phd.,1995,Q4,Active,NA,June Intake,3,2906,776,362
365,Isiahi,Yaxley,Female,Australia,smu,arts,Phd.,2003,Q2,Withdrawn,Expensive,June Intake,3,1084,647,423
366,Decca,D' Angelo,Female,Australia,smu,arts,Phd.,2014,Q2,Withdrawn,Expensive,March Intake,2,2267,1356,441
367,Rawley,Caldwall,Male,Australia,smu,engineering,Phd.,2014,Q4,Active,NA,June Intake,3,1047,610,437
368,Prentice,Marciskewski,Female,Australia,smu,arts,Phd.,1994,Q2,Active,NA,Sept intake,1,3579,1899,323
369,Suzann,Gosdin,Female,Australia,smu,science,Bachelor,2007,Q1,Withdrawn,Expensive,March Intake,2,1664,1677,487
370,Drona,Djurisic,Female,Australia,smu,arts,Bachelor,2007,Q1,Withdrawn,Academically unprepared,Sept intake,1,1875,1344,270
371,Chadwick,Marcq,Female,Australia,nus,arts,Phd.,2005,Q4,Withdrawn,Expensive,Sept intake,1,4527,1528,237
372,Skell,Watt,Female,Australia,nus,engineering,Phd.,1993,Q1,Active,NA,Sept intake,1,2286,955,223
373,William,Gooke,Male,Australia,nus,arts,Degree,1998,Q1,Active,NA,March Intake,2,3368,780,355
374,Joby,Siddeley,Male,Australia,smu,engineering,Phd.,1995,Q3,Active,NA,Sept intake,1,4970,921,460
375,Francine,Krelle,Male,Australia,ntu,engineering,Phd.,2020,Q2,Active,NA,Sept intake,1,4263,739,414
376,Roda,Faltin,Female,Australia,ntu,arts,Degree,2007,Q3,Active,NA,Sept intake,1,1497,956,344
377,Jodee,Duckers,Female,Australia,smu,arts,Bachelor,2000,Q3,Withdrawn,homesick,Sept intake,1,4914,1045,265
378,Marieann,Bradly,Female,Australia,smu,science,Phd.,2012,Q4,Withdrawn,Expensive,Sept intake,1,2985,1173,356
379,Wynne,Gair,Female,Australia,smu,arts,Phd.,2020,Q2,Withdrawn,homesick,March Intake,2,4119,1354,427
380,Son,Crosland,Female,Australia,ntu,engineering,Degree,1992,Q1,Withdrawn,homesick,March Intake,2,2695,1974,234
381,Sharline,Scemp,Female,Australia,smu,engineering,Bachelor,2020,Q3,Withdrawn,Academically unprepared,Sept intake,1,1941,1628,334
382,Minta,Davidovici,Female,Australia,smu,arts,Degree,2016,Q1,Withdrawn,Expensive,Sept intake,1,3790,931,323
383,Edita,Patullo,Male,Australia,nus,engineering,Degree,1996,Q4,Withdrawn,Academically unprepared,June Intake,3,4948,1566,264
384,Amaleta,Emanuele,Male,Australia,nus,arts,Degree,2016,Q4,Withdrawn,Academically unprepared,Sept intake,1,2425,668,469
385,Katherine,Rasmus,Female,Australia,smu,science,Degree,2017,Q4,Active,NA,June Intake,3,1570,1988,358
386,Katy,Pennacci,Female,Australia,smu,science,Degree,1997,Q4,Withdrawn,Academically unprepared,Sept intake,1,2965,1200,365
387,Josh,Ditzel,Female,Australia,smu,engineering,Phd.,1991,Q4,Withdrawn,homesick,Sept intake,1,1087,973,399
388,Preston,Karpeev,Male,Australia,smu,engineering,Phd.,1997,Q4,Withdrawn,homesick,March Intake,2,3173,1935,216
389,Dion,Leyzell,Female,Australia,ntu,engineering,Phd.,2018,Q4,Active,NA,Sept intake,1,2740,1927,285
390,Darlene,Drewell,Male,Australia,nus,science,Bachelor,2000,Q2,Withdrawn,homesick,Sept intake,1,2473,560,448
391,Lavina,Ligerton,Male,Australia,nus,arts,Degree,2009,Q4,Active,NA,March Intake,2,2957,1126,214
392,Denny,Tregenna,Male,Australia,ntu,science,Degree,2020,Q4,Withdrawn,Expensive,June Intake,3,1960,1005,300
393,Hayes,Klosterman,Male,Australia,nus,science,Bachelor,2011,Q3,Active,NA,Sept intake,1,1401,953,263
394,Allsun,O'Mara,Male,Australia,ntu,science,Bachelor,2009,Q3,Active,NA,Sept intake,1,1923,1195,436
395,Sophey,Okker,Female,Australia,ntu,engineering,Phd.,2002,Q4,Withdrawn,Expensive,Sept intake,1,3831,1674,433
396,Griffin,McIan,Female,Australia,smu,engineering,Degree,1996,Q2,Withdrawn,Academically unprepared,Sept intake,1,2336,756,459
397,Bogart,Tattoo,Female,Australia,ntu,arts,Degree,1997,Q4,Active,NA,March Intake,2,3037,728,253
398,Eada,Endrici,Female,Australia,smu,science,Bachelor,1998,Q3,Active,NA,Sept intake,1,4415,1386,251
399,Sam,Marlowe,Female,Australia,smu,arts,Phd.,2003,Q2,Withdrawn,Expensive,June Intake,3,2007,804,471
400,Jelene,Ech,Female,Australia,ntu,science,Degree,1998,Q3,Withdrawn,Academically unprepared,March Intake,2,2802,821,485
401,Reilly,House,Female,Singapore,ntu,arts,Bachelor,2010,Q3,Active,NA,Sept intake,1,1419,1925,220
402,Jamie,Haseley,Female,Singapore,smu,science,Phd.,1991,Q4,Withdrawn,Academically unprepared,Sept intake,1,3153,1384,325
403,Julius,Bartod,Female,Singapore,smu,arts,Phd.,2003,Q3,Active,NA,Sept intake,1,1710,1140,429
404,Irvin,Sara,Female,Singapore,ntu,arts,Phd.,1995,Q3,Withdrawn,homesick,Sept intake,1,4253,1522,407
405,Datha,Brannan,Female,Singapore,smu,engineering,Phd.,2007,Q1,Active,NA,Sept intake,1,2530,1924,210
406,Lyle,Mebius,Male,Singapore,ntu,arts,Degree,2020,Q3,Active,NA,March Intake,2,2870,1928,410
407,Shae,Rosell,Female,Singapore,smu,science,Bachelor,2013,Q4,Active,NA,Sept intake,1,4806,1926,454
408,Antonin,Downing,Female,Singapore,smu,science,Phd.,1993,Q4,Active,NA,Sept intake,1,1500,1547,457
409,Shae,Forsyde,Female,Singapore,smu,engineering,Phd.,2001,Q4,Withdrawn,homesick,June Intake,3,3294,1172,498
410,Helsa,Carlan,Male,Singapore,ntu,engineering,Bachelor,2007,Q4,Withdrawn,homesick,March Intake,2,3037,1701,438
411,Jarrad,O'Dunniom,Male,Singapore,smu,arts,Phd.,2018,Q4,Withdrawn,homesick,Sept intake,1,2981,1047,375
412,Lenard,Ulyatt,Male,Singapore,nus,engineering,Bachelor,2015,Q4,Active,NA,March Intake,2,1435,1529,344
413,Charla,Oakley,Female,Singapore,ntu,engineering,Phd.,2020,Q4,Withdrawn,Expensive,Sept intake,1,2366,899,481
414,Donal,Rattrie,Female,Singapore,ntu,arts,Bachelor,2016,Q4,Withdrawn,Expensive,March Intake,2,4328,690,334
415,Lindi,Dahlgren,Female,Singapore,smu,engineering,Bachelor,2011,Q4,Withdrawn,Expensive,Sept intake,1,3970,1021,390
416,Chery,Schoenfisch,Female,Singapore,smu,arts,Phd.,2019,Q1,Withdrawn,Expensive,June Intake,3,2496,1716,451
417,Ashely,Fullbrook,Male,Singapore,ntu,science,Bachelor,2000,Q3,Withdrawn,Academically unprepared,March Intake,2,2542,802,342
418,Pace,Ferby,Male,Singapore,smu,engineering,Bachelor,1990,Q4,Active,NA,March Intake,2,2973,1145,343
419,Bertha,Urwen,Male,Singapore,smu,engineering,Phd.,2004,Q4,Active,NA,June Intake,3,2311,1240,498
420,Wandie,Aspinall,Female,Singapore,nus,science,Bachelor,2001,Q3,Active,NA,March Intake,2,1701,795,394
421,Herold,Bidder,Male,Singapore,nus,engineering,Bachelor,2017,Q1,Active,NA,June Intake,3,2641,1267,479
422,Kelly,Filippello,Female,Singapore,smu,science,Phd.,1994,Q2,Active,NA,March Intake,2,3721,1225,304
423,Ivett,Davidsson,Male,Singapore,smu,engineering,Phd.,2013,Q4,Active,NA,March Intake,2,3120,1184,482
424,Hedy,Junifer,Male,Singapore,ntu,science,Phd.,2019,Q3,Withdrawn,homesick,March Intake,2,4118,1679,439
425,Alex,Mattiussi,Male,Singapore,nus,engineering,Bachelor,2014,Q4,Withdrawn,homesick,March Intake,2,2914,1326,378
426,Leonanie,Catonne,Male,Singapore,smu,arts,Phd.,2000,Q1,Withdrawn,Expensive,March Intake,2,3342,1042,385
427,Doralynne,Cockayme,Female,Singapore,nus,engineering,Bachelor,2001,Q3,Withdrawn,homesick,June Intake,3,3161,1320,235
428,Shane,Hanshawe,Female,Singapore,nus,engineering,Phd.,2017,Q4,Active,NA,March Intake,2,3575,1465,400
429,Golda,Heditch,Male,Singapore,smu,engineering,Degree,2016,Q3,Withdrawn,Expensive,March Intake,2,4172,1177,438
430,Bianka,Bodycote,Male,Singapore,smu,arts,Phd.,2010,Q4,Withdrawn,Academically unprepared,June Intake,3,4848,1916,286
431,Jordain,Todarello,Male,Singapore,smu,arts,Degree,2005,Q2,Active,NA,Sept intake,1,3028,896,293
432,Elysha,Sills,Female,Singapore,ntu,science,Bachelor,2018,Q4,Active,NA,March Intake,2,4777,1923,277
433,Shelia,Minshall,Female,Singapore,smu,engineering,Bachelor,2000,Q4,Withdrawn,homesick,Sept intake,1,2086,1909,338
434,Gabi,Leftly,Male,Singapore,smu,science,Phd.,2010,Q2,Active,NA,March Intake,2,4680,943,217
435,Lew,Gallie,Male,Singapore,nus,science,Bachelor,1994,Q3,Withdrawn,homesick,Sept intake,1,2922,1451,361
436,Florida,Arlet,Male,Singapore,nus,engineering,Bachelor,2006,Q4,Active,NA,Sept intake,1,4950,1256,308
437,Charley,Reinhart,Female,Singapore,ntu,science,Bachelor,2006,Q4,Withdrawn,Academically unprepared,March Intake,2,2120,933,296
438,Gib,Ronca,Female,Singapore,ntu,engineering,Bachelor,2020,Q3,Withdrawn,homesick,Sept intake,1,2251,1868,454
439,Nikita,Kaesmans,Male,Singapore,smu,engineering,Phd.,1999,Q4,Withdrawn,Academically unprepared,Sept intake,1,2468,928,209
440,Patrizius,Ladewig,Male,Singapore,ntu,arts,Degree,1990,Q2,Active,NA,March Intake,2,1847,1271,309
441,Darda,Avesque,Female,Singapore,ntu,science,Degree,1997,Q4,Active,NA,Sept intake,1,1238,1077,494
442,Alfie,O'Kelly,Male,Singapore,ntu,arts,Degree,1997,Q3,Active,NA,March Intake,2,1346,1953,283
443,Linet,Raftery,Male,Singapore,nus,science,Phd.,2020,Q4,Withdrawn,homesick,Sept intake,1,4700,539,216
444,Cornall,De Simone,Male,Singapore,ntu,science,Phd.,2000,Q3,Active,NA,Sept intake,1,1219,1495,218
445,Dyna,Canby,Female,Singapore,smu,engineering,Bachelor,2007,Q3,Active,NA,Sept intake,1,3903,697,477
446,Ree,Haysham,Female,Singapore,nus,science,Phd.,1994,Q4,Active,NA,Sept intake,1,3058,850,452
447,Lyda,Ianniello,Male,Singapore,nus,engineering,Phd.,2020,Q4,Active,NA,Sept intake,1,3045,1042,352
448,Marya,Pabst,Female,Singapore,ntu,science,Phd.,2002,Q4,Withdrawn,homesick,Sept intake,1,3257,1961,338
449,Aldo,Behn,Female,Singapore,nus,science,Degree,1993,Q4,Withdrawn,Expensive,March Intake,2,1684,1261,487
